Date,ATS.PR,BEZVA.PR,CEZ.PR,COLT.PR,CPI.PR,CSG.PR,CTPNV.PR,CZ0003527657.PR,CZ0003572695.PR,CZ0003573842.PR,CZ0003574014.PR,CZ0003574196.PR,CZ0003576480.PR,CZ0003577546.PR,CZ0003578510.PR,CZ0003580300.PR,CZ0003581746.PR,CZ0003582066.PR,CZ0003583742.PR,CZ0003584740.PR,CZ0003584864.PR,CZ0003586208.PR,DBK.PR,DSPW.PR,DTE.PR,EFORU.PR,EMAN.PR,EOAN.PR,ERBAG.PR,FACC.PR,FILL.PR,FIXED.PR,FPXAA.PR,FTSHP.PR,GEN.PR,GEV.PR,HWIO.PR,JTINA.PR,JTINB.PR,JTINV.PR,KARIN.PR,KGH.PR,KLIKY.PR,KOFOL.PR,KOMB.PR,M2C.PR,MMCTE.PR,MOL.PR,MONET.PR,NOKIA.PR,OMV.PR,OTP.PR,PEN.PR,PINK.PR,PKN.PR,PKO.PR,PRAB.PR,PRIUA.PR,PVT.PR,RBI.PR,RWE.PR,SABFG.PR,SHELL.PR,TABAK.PR,TMR.PR,TOMA.PR,UQA.PR,VIG.PR,VOE.PR,VOLVB.PR,VOW.PR,WIE.PR,WPS.PR
2025-09-30,545.5,615.0,1245.09765625,749.94287109375,,,445.52166748046875,,,,,,,,,,,,,,,,727.1469116210938,452.7471618652344,700.1138916015625,249.34228515625,60.0,387.18206787109375,2025.4007568359375,213.4468231201172,90.0,99.0,,115.0,618.4173583984375,220.0,10.800000190734863,,,,158.0,901.3103637695312,24800.0,485.5653991699219,949.1913452148438,280.0,177.0,17.144407272338867,152.53414916992188,97.46734619140625,1109.2774658203125,1068.353759765625,16.31999969482422,183.0,501.5014953613281,395.6371154785156,258.0,890.0,1.440000057220459,723.9087524414062,919.9624633789062,967.4461669921875,752.65283203125,16996.9609375,510.0,1314.823974609375,305.48809814453125,1142.7529296875,711.8975830078125,706.6285400390625,2263.214599609375,670.9785766601562,27.985517501831055
2025-10-31,789.5,,1250.90234375,746.05712890625,,,423.3507080078125,,,,,,,,,,,,,,,,751.9110717773438,430.9622497558594,657.5678100585938,259.7315368652344,62.0,395.72174072265625,2159.361083984375,213.4468231201172,90.0,95.0,,105.0,568.4644165039062,230.0,9.850000381469727,,,,179.0,1124.139892578125,21000.0,466.3730773925781,987.5609741210938,274.0,180.0,19.211820602416992,164.89183044433594,143.71253967285156,1146.6688232421875,1071.9488525390625,12.279999732971191,186.0,568.5201416015625,445.74786376953125,258.0,1040.0,1.4900000095367432,784.41748046875,1029.3746337890625,973.4152221679688,789.5867309570312,16996.9609375,480.0,1314.823974609375,308.98223876953125,1096.8031005859375,818.0226440429688,687.0,2235.784912109375,635.0332641601562,25.98655128479004
2025-11-28,772.0,590.0,1233.4884033203125,702.3428344726562,380.0,,424.4974670410156,,,,,,,,,,,,,,,,738.9298706054688,379.8150939941406,671.1505737304688,259.7315368652344,58.0,368.0052490234375,2255.332763671875,252.93698120117188,90.0,87.0,,100.0,569.5877685546875,242.0,10.100000381469727,,,,167.0,1199.08251953125,20000.0,460.6153869628906,1065.2137451171875,262.0,188.0,18.757997512817383,178.587890625,129.36129760742188,1155.642822265625,1071.9488525390625,11.0600004196167,174.0,527.3388061523438,438.4194030761719,250.0,1000.0,1.399999976158142,842.5299072265625,1068.7431640625,973.4152221679688,798.9249877929688,17525.75390625,448.0,1334.3028564453125,362.89190673828125,1188.7027587890625,895.3681030273438,687.0,2300.120361328125,708.9208374023438,26.586240768432617
2025-12-30,769.0,515.0,1252.837158203125,719.8285522460938,,,,,,,,,,,,,,,,,,,823.8069458007812,394.4962158203125,674.5462646484375,258.0,58.0,388.8300476074219,2474.26806640625,262.9344787597656,95.0,75.0,,97.0,539.6094360351562,244.0,13.800000190734863,,,,176.0,1581.2901611328125,19900.0,463.97406005859375,1061.5595703125,258.0,179.0,19.08071517944336,182.16717529296875,133.53872680664062,1152.1529541015625,1071.9488525390625,10.65999984741211,170.0,539.2180786132812,485.2620544433594,250.0,1100.0,1.5199999809265137,924.606201171875,1098.11962890625,973.4152221679688,770.962646484375,17487.982421875,446.0,1324.5633544921875,375.3710021972656,1626.225341796875,913.755126953125,687.0,2553.47265625,720.902587890625,29.78458595275879
2026-01-30,942.0,,1142.548828125,809.2000122070312,,,422.3950500488281,,,,,,,,,,,,,,,,803.8358764648438,405.388671875,682.9356689453125,256.2684631347656,53.5,435.92315673828125,2677.2080078125,281.92974853515625,95.0,88.0,,95.0,509.631103515625,238.0,14.899999618530273,,,,175.0,1992.4754638671875,18000.0,458.6961669921875,1137.38525390625,250.0,165.0,25.857797622680664,194.0353546142578,132.07962036132812,1210.4833984375,1071.9488525390625,10.680000305175781,155.0,616.8289794921875,527.0540161132812,254.0,1090.0,1.399999976158142,1047.4210205078125,1309.550048828125,991.7815551757812,770.962646484375,19027.15234375,438.0,1334.3028564453125,382.85845947265625,1610.2427978515625,965.5186157226562,687.0,2450.7353515625,670.1798095703125,35.58158493041992
2026-02-27,1267.0,,1127.06982421875,859.7142944335938,,738.0,420.4837646484375,,,,,,,,,,,,,,,,759.7996826171875,393.0754699707031,827.5526123046875,258.0,51.5,478.4717102050781,2443.277099609375,322.419677734375,75.0,79.0,,95.0,468.7803649902344,238.0,13.699999809265137,,,,178.0,1693.2044677734375,16000.0,457.7365417480469,1073.435791015625,242.0,167.0,22.751636505126953,185.55809020996094,156.8401641845703,1343.09814453125,1535.7210693359375,8.199999809265137,135.0,648.803955078125,524.2810668945312,248.0,995.0,1.159999966621399,1028.9488525390625,1320.1416015625,1000.9647216796875,834.2659301757812,18885.51171875,446.0,1344.042236328125,402.82501220703125,1584.2711181640625,1124.20654296875,687.0,2443.753173828125,676.969482421875,32.183345794677734
2026-03-31,1270.0,,1160.93017578125,878.1714477539062,,574.0,335.8136291503906,,,,,,,,,,,,,,,,619.5028686523438,367.9754638671875,793.1961059570312,252.8053741455078,46.0,468.7334899902344,2288.322998046875,321.419921875,95.0,73.0,,,419.8033142089844,189.0,11.600000381469727,,,,156.0,1508.345947265625,17700.0,431.8269348144531,985.7338256835938,200.0,157.0,25.09134292602539,173.8782958984375,170.87481689453125,1525.568115234375,1536.3201904296875,6.5,105.0,744.4317626953125,487.73785400390625,210.0,885.0,1.5499999523162842,885.4652099609375,1398.6787109375,1019.3310546875,984.134033203125,17790.15234375,360.0,1363.5211181640625,365.3877258300781,1492.371337890625,1124.20654296875,687.0,2154.991455078125,561.145751953125,29.984481811523438
2026-04-30,2174.0,,1158.0279541015625,1033.5999755859375,,452.8999938964844,372.7015380859375,,,,,,,,,,,,,,,,646.3638916015625,381.70941162109375,665.4000244140625,256.2684631347656,48.0,452.29998779296875,2325.0,314.4216613769531,90.0,64.0,,84.0,428.799072265625,182.0,13.0,,,,150.0,1700.69873046875,17500.0,454.8576965332031,1010.4000244140625,200.0,173.0,27.57223892211914,182.89999389648438,252.09967041015625,1483.6898193359375,1687.9150390625,6.199999809265137,135.0,756.1129760742188,548.7421875,240.0,828.0,1.2999999523162842,1099.5,1496.7999267578125,1065.246826171875,899.2088012695312,17941.236328125,382.0,1353.7816162109375,392.9415588378906,1558.2994384765625,1023.27783203125,700.0,2127.062744140625,636.630859375,32.383243560791016
2026-05-29,3560.0,,1215.10693359375,1020.0,385.5,432.70001220703125,385.0741882324219,,,,,,,,,,,,,,,,680.2999877929688,415.3339538574219,707.9000244140625,283.9731750488281,45.0,439.25,2502.0,401.3999938964844,57.0,60.0,,,499.8960266113281,204.0,9.300000190734863,,,,155.0,2123.875,19200.0,503.798095703125,988.5,195.0,170.0,26.220857620239258,185.60000610351562,313.9373474121094,1487.67822265625,2821.0,9.600000381469727,133.0,812.4403076171875,591.8215942382812,238.0,800.0,1.1200000047683716,1204.0,1333.199951171875,1060.0,849.6214599609375,18696.65625,380.0,1363.5211181640625,411.5104675292969,1512.0,1132.7005615234375,700.0,2205.362548828125,599.0,31.783550262451172
2026-06-30,5360.0,400.0,1242.0,1020.0,,315.1000061035156,375.7154235839844,,,,,,,,,,,,,,,,718.7000122070312,495.3697814941406,578.0,285.7047119140625,45.0,440.8500061035156,2833.0,441.5,70.0,55.5,,75.0,521.8914184570312,192.5,8.149999618530273,,,,143.0,1861.0,18900.0,493.0,972.5,179.0,169.0,26.543577194213867,186.1999969482422,282.043701171875,1319.5,2752.0,7.099999904632568,114.5,707.7000122070312,584.1961059570312,222.0,794.0,1.1200000047683716,1343.0,1375.0,1050.0,801.642822265625,17700.0,374.0,1420.0,423.3999938964844,1559.0,1062.75,700.0,1744.800048828125,558.0,28.600000381469727
