Rank,Ticker,Name,Return (%),Risk,Volatility,Follows Market Direction ?,Industry,Sector,Rating
1,TGT.MX,Target Corporation,76.99,0.144,0.44,No,Discount Stores,Consumer Defensive,
2,FSHOP13.MX,Fibra Shop,55.65,0.151,0.065,No,REIT - Retail,Real Estate,
3,ROST.MX,"Ross Stores, Inc.",46.19,0.145,0.184,Yes,Apparel Retail,Consumer Cyclical,
4,FNOVA17.MX,Fibra Nova,10.21,0.039,0.107,Yes,REIT - Diversified,Real Estate,
5,EXR.MX,Extra Space Storage Inc.,0.23,0.001,0.005,No,REIT - Industrial,Real Estate,
6,ARA.MX,"Consorcio ARA, S. A. B. de C. V.",67.21,0.225,1.516,Yes,Residential Construction,Consumer Cyclical,
7,FHIPO14.MX,Fideicomiso Irrevocable F/2061 FHipo,28.04,0.108,0.033,No,Banks - Regional,Financial Services,
8,FCX.MX,Freeport-McMoRan Inc.,102.02,0.333,1.932,Yes,Copper,Basic Materials,
9,FIBRAMQ12.MX,FIBRA Macquarie México,58.44,0.22,1.632,Yes,REIT - Industrial,Real Estate,3.0 - Hold
10,MRK.MX,"Merck & Co., Inc.",76.79,0.275,0.368,Yes,Drug Manufacturers - General,Healthcare,
11,FCFE18.MX,Fideicomiso Irrevocable Numero Cib/2919 (Cfe Fibra E),21.36,0.094,0.092,Yes,,,
12,HOTEL.MX,"Grupo Hotelero Santa Fe, S.A.B. de C.V.",62.04,0.242,0.435,No,Lodging,Consumer Cyclical,
13,LIN1N.MX,Linde plc,0.09,0.0,0.002,No,Specialty Chemicals,Basic Materials,
14,BBVA.MX,"Banco Bilbao Vizcaya Argentaria, S.A.",49.05,0.201,0.495,No,Banks - Diversified,Financial Services,
15,VLO.MX,Valero Energy Corporation,116.81,0.398,1.012,No,Oil & Gas Refining & Marketing,Energy,
16,4689N.MX,LY Corporation,25.14,0.113,2.496,Yes,Internet Retail,Consumer Cyclical,
17,BWA.MX,BorgWarner Inc.,72.66,0.302,1.649,Yes,Auto Parts,Consumer Cyclical,
18,MUFGN.MX,"Mitsubishi UFJ Financial Group, Inc.",41.36,0.195,0.618,Yes,Banks - Diversified,Financial Services,
19,KO.MX,The Coca-Cola Company,28.02,0.139,0.54,Yes,Beverages - Non-Alcoholic,Consumer Defensive,
20,VIRT.MX,"Virtu Financial, Inc.",92.41,0.376,0.827,No,Capital Markets,Financial Services,
21,PH.MX,Parker-Hannifin Corporation,30.7,0.152,0.306,No,Specialty Industrial Machinery,Industrials,
22,KOFUBL.MX,"Coca-Cola FEMSA, S.A.B. de C.V.",34.98,0.171,1.11,Yes,Beverages - Non-Alcoholic,Consumer Defensive,1.8 - Buy
23,STLD.MX,"Steel Dynamics, Inc.",99.61,0.414,0.083,No,Steel,Basic Materials,
24,BBAJIOO.MX,"Banco del Bajío, S.A., Institución de Banca Múltiple",36.99,0.186,1.556,Yes,Banks - Regional,Financial Services,2.2 - Buy
25,TX.MX,Ternium S.A.,55.76,0.264,0.561,Yes,Steel,Basic Materials,
26,GPROFUT.MX,"Grupo Profuturo, S.A.B. de C.V.",16.54,0.092,0.113,No,Insurance Brokers,Financial Services,
