Date,AKO1L.VS,AMG1L.VS,APG1L.VS,GRG1L.VS,IGN1L.VS,INC1L.VS,INL1L.VS,IVL1L.VS,KNE1L.VS,KNR1L.VS,LGD1L.VS,NTU1L.VS,PZV1L.VS,RSU1L.VS,TEL1L.VS,UTR1L.VS,VBL1L.VS,^OMXV
2025-09-30,1.58719003200531,1.145365834236145,2.791646242141724,0.9925113916397096,19.227802276611328,3.5799999237060547,6.435256004333496,22.399999618530277,0.294561892747879,1.830000042915344,0.7700439691543579,,1.511104702949524,4.188733577728272,1.606810450553894,0.3899999856948852,11.27210521697998,
2025-10-31,1.7154958248138428,1.1549105644226074,2.866338968276977,0.9972830414772034,19.64987564086914,3.5799999237060547,6.287883281707764,21.048274993896484,0.2992523908615112,1.7999999523162842,0.7738280296325684,,1.2952325344085691,4.322619915008545,1.686681032180786,0.3160000145435333,11.178947448730469,
2025-11-28,1.7949999570846558,1.145365834236145,2.922358751296997,0.9505205154418944,19.41539001464844,3.839999914169312,6.33700704574585,21.048274993896484,0.3292714357376098,1.7799999713897705,0.7795040011405945,,1.3779070377349854,4.207859992980957,1.6913793087005615,0.3160000145435333,9.408947944641112,
2025-12-30,1.840000033378601,1.24081289768219,3.2117936611175537,1.078401803970337,19.884361267089844,3.859999895095825,6.386131763458252,22.78620719909668,0.3808666467666626,1.899999976158142,0.792747974395752,,1.4605814218521118,4.360873222351074,1.7759482860565186,0.3100000023841858,10.52684211730957,
2026-01-30,1.830000042915344,1.231268286705017,3.454545497894287,1.0831735134124756,21.197479248046875,4.179999828338623,6.582627773284912,27.034482955932617,0.4080714285373688,2.0999999046325684,0.8324799537658691,,1.4973256587982178,4.37999963760376,1.9638792276382449,0.3079999983310699,10.800000190734863,
2026-02-27,1.774999976158142,1.221723556518555,3.445208787918091,1.045000076293945,20.44712448120117,3.9600000381469727,6.6808762550354,25.682758331298828,0.4174523651599884,2.059999942779541,0.8324799537658691,,1.4881396293640137,4.475632667541504,1.945086121559143,0.3059999942779541,10.5,
2026-03-31,1.5499999523162842,1.1262763738632202,3.295823097229004,1.0020546913146973,20.02505111694336,4.079999923706055,6.189635276794434,25.10344696044922,0.392123818397522,1.899999976158142,0.8324799537658691,,1.4146511554718018,4.226986885070801,1.945086121559143,0.3120000064373016,10.199999809265137,
2026-04-30,1.7000000476837158,1.2200000286102295,3.650614261627197,1.0640867948532104,20.92265510559082,4.619999885559082,6.6808762550354,26.64827537536621,0.415576159954071,2.0,1.0,,1.566220998764038,4.341746330261231,2.15181040763855,0.3339999914169311,10.399999618530272,
2026-05-29,1.649999976158142,1.2000000476837158,3.759999990463257,1.034999966621399,20.486764907836918,4.900000095367432,6.400000095367432,28.799999237060547,0.4429999887943268,2.119999885559082,1.034999966621399,,1.5850000381469729,4.340000152587891,2.130000114440918,0.3199999928474426,10.100000381469728,
2026-06-30,1.659999966621399,1.2000000476837158,3.819999933242798,1.0149999856948853,20.583629608154297,4.960000038146973,6.650000095367432,27.600000381469727,0.4749999940395355,2.0799999237060547,1.0199999809265137,,1.690000057220459,4.300000190734863,2.180000066757202,0.3499999940395355,9.649999618530272,
2026-07-31,1.7949999570846558,1.2000000476837158,3.9600000381469727,1.0399999618530271,21.64913558959961,4.900000095367432,6.900000095367432,27.799999237060547,0.4749999940395355,2.0999999046325684,1.0750000476837158,,1.7549999952316284,4.5,2.240000009536743,0.4180000126361847,9.899999618530272,
2026-08-31,1.7699999809265137,1.2000000476837158,3.9700000286102295,1.0099999904632568,21.40697479248047,4.920000076293945,6.949999809265137,27.399999618530277,0.4930000007152557,2.059999942779541,1.125,,1.7300000190734863,4.559999942779541,2.2100000381469727,0.3840000033378601,9.699999809265137,
