Date,ARC1T.TL,CPA1T.TL,EFCUPFFT.TL,EFT1T.TL,HAE1T.TL,LVN1T.TL,NCN1T.TL,NHCBHFFT.TL,PKG1T.TL,PRF1T.TL,SFG1T.TL,SKN1T.TL,TAL1T.TL,TKM1T.TL,TPD1T.TL,TSM1T.TL,TVE1T.TL,^OMXT
2025-09-30,1.6898823976516724,1.8878926038742063,,17.959701538085938,4.401723861694336,,0.6600000262260437,0.2249000072479248,1.25,0.0590000003576278,1.2350000143051147,0.699999988079071,0.5429866313934326,8.670605659484863,0.6499999761581421,1.1276072263717651,10.079137802124023,
2025-10-31,1.6750588417053225,1.85869824886322,,18.006715774536133,4.497413635253906,,0.6489999890327454,0.2150000035762787,1.1799999475479126,0.0570000000298023,1.159999966621399,0.699999988079071,0.5375477075576782,8.642423629760742,0.6240000128746033,1.1105222702026367,10.079137802124023,
2025-11-28,1.6649999618530271,1.8645371198654173,,18.006715774536133,4.449569225311279,,0.6330000162124634,0.1645999997854232,1.0,0.0579999983310699,1.1349999904632568,0.7200000286102295,0.544847309589386,8.698787689208984,0.6179999709129333,1.1465904712677002,10.079137802124023,
2025-12-30,1.659999966621399,2.058192014694214,,18.05373191833496,4.640948295593262,,0.6919999718666077,0.1570000052452087,0.8899999856948853,0.0570000000298023,1.25,0.7699999809265137,0.5562977194786072,8.92424201965332,0.6340000033378601,1.2301169633865356,10.459482192993164,
2026-01-30,1.625,2.0873863697052,,18.57089614868164,5.052413940429688,,0.7390000224113464,0.156700000166893,0.9399999976158142,0.06700000166893,1.215000033378601,0.7850000262260437,0.5667938590049744,8.914848327636719,0.6100000143051147,1.4047632217407229,10.649654388427734,
2026-02-27,1.600000023841858,2.2187602519989014,,18.66492462158203,5.41603422164917,,0.6729999780654907,0.1488000005483627,0.959999978542328,0.0798000022768974,1.225000023841858,0.7799999713897705,0.5877862572669983,9.140302658081056,0.6019999980926514,1.357304930686951,10.697197914123535,
2026-03-31,1.5,2.174968957901001,,18.61791038513184,5.358620643615723,,0.5799999833106995,0.1435000002384185,0.9200000166893004,0.0710000023245811,1.1649999618530271,0.699999988079071,0.5830152630805969,9.229999542236328,0.5720000267028809,1.32503342628479,10.697197914123535,
2026-04-30,1.409999966621399,2.2799999713897705,,19.100000381469727,5.396896362304688,,0.5920000076293945,0.1850000023841858,0.875,0.06700000166893,1.159999966621399,0.6800000071525574,0.618320643901825,9.239999771118164,0.5680000185966492,1.3819832801818848,11.077542304992676,
2026-05-29,1.3250000476837158,2.315000057220459,,19.149999618530277,5.599999904632568,3.700000047683716,0.5799999833106995,0.1999000012874603,0.7900000214576721,0.063400000333786,1.1399999856948853,0.6600000262260437,0.614503800868988,9.1899995803833,0.5600000023841858,1.2480000257492063,10.949999809265137,
2026-06-30,1.2699999809265137,2.275000095367432,,19.049999237060547,5.440000057220459,3.650000095367432,0.5600000023841858,0.1943999975919723,0.7099999785423279,0.0599999986588954,1.100000023841858,0.6050000190734863,0.6140000224113464,9.15999984741211,0.5580000281333923,1.27400004863739,11.25,
2026-07-31,1.284999966621399,2.299999952316284,,19.850000381469727,5.159999847412109,3.640000104904175,0.6060000061988831,0.188400000333786,0.6499999761581421,0.0590000003576278,1.1100000143051147,0.6299999952316284,0.6110000014305115,9.140000343322754,0.593999981880188,1.2419999837875366,11.0,
2026-08-31,1.2400000095367432,2.3399999141693115,9.25,19.450000762939453,5.139999866485596,3.5999999046325684,0.5960000157356262,0.1922000050544738,0.6499999761581421,0.0555999986827373,1.0800000429153442,0.6200000047683716,0.6200000047683716,9.09000015258789,0.5619999766349792,1.215999960899353,10.800000190734863,
